timestamp,idx,symbol,side,open,high,low,close,atr,atr_pct,rel_vol,imbalance,imbalance_z,shockflip_z,shock_intensity_z,range_atr,donchian_loc,price_flow_div,prior_flow_sign,div_score,trend_dir,trend_aligned,trend_slope,stall_flag,mfe6_atr,mfe10_atr,mfe20_atr,mfe30_atr,mfe60_atr,mfe120_atr,mfe240_atr,did_snap_H6_K0_5,did_snap_H6_K0_75,did_snap_H6_K1_0,did_snap_H10_K0_5,did_snap_H10_K0_75,did_snap_H10_K1_0,did_snap_H20_K0_5,did_snap_H20_K0_75,did_snap_H20_K1_0,did_snap_H30_K0_5,did_snap_H30_K0_75,did_snap_H30_K1_0,did_snap_H60_K0_5,did_snap_H60_K0_75,did_snap_H60_K1_0,did_snap_H120_K0_5,did_snap_H120_K0_75,did_snap_H120_K1_0,did_snap_H240_K0_5,did_snap_H240_K0_75,did_snap_H240_K1_0,barrier_y_H30_R4p0_sl2p5,did_snap,shock_intensity_z_decile,div_score_decile,rel_vol_decile
2024-12-01 14:49:00+00:00,6649,BTCUSDT,-1,97279.0,97407.5,97274.6,97383.0,48.95166666666749,0.263161564744439,4.344648030288455,0.8239215810794798,1.930523428000603,1.930523428000603,2.714922883060373,2.714922883060373,0.873324742266912,0.1896871253792044,1,0.0,1,0,2.240747313689469e-05,1,2.492254264410431,2.492254264410431,4.144904838105425,4.680126655544328,7.198937727690339,7.619760988730252,7.619760988730252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,8,6
2024-12-01 16:07:00+00:00,6727,BTCUSDT,-1,97239.90000000001,97393.0,97239.90000000001,97362.90000000001,45.01999999999971,0.2193710340980406,6.8782273022399965,0.7601053324537757,1.8922402617134304,1.8922402617134304,3.4007107951264226,3.4007107951264226,0.8905521472370999,0.060630174715478165,-1,0.0,1,0,9.108211536050053e-06,0,2.729897823189905,3.089737894269363,3.089737894269363,3.089737894269363,5.393158596179575,5.926254997778868,7.405597512217033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,8,8
2024-12-01 16:41:00+00:00,6761,BTCUSDT,-1,97333.40000000001,97433.0,97333.40000000001,97411.8,42.86833333333319,0.196011435743672,3.8009668865498414,0.8627339056927076,2.053792547058935,2.053792547058935,2.3233933361300467,2.3233933361300467,0.9498817966880686,0.42127418346899526,1,0.0,1,0,1.7746064058155044e-05,1,1.4976089576609923,3.702033357956478,5.549550950585008,6.804556588001977,7.364410403950036,7.364410403950036,13.042261187356475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,8,5
2024-12-02 07:23:00+00:00,7643,BTCUSDT,1,96221.3,96235.40000000001,95950.1,95969.40000000001,52.22666666666725,0.3030472073077191,16.07810335636628,-0.7891286076341536,-2.0038234214241872,-2.0038234214241872,5.462726576356976,5.462726576356976,0.019198249278805986,1.080371184636634,-1,0.0,-1,0,-7.297870253504997e-05,0,1.6868777125349175,2.1330099565993033,2.1713045698237092,2.5006382435535452,3.9922134286443263,3.9922134286443263,3.9922134286443263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9,8,9
2024-12-02 17:29:00+00:00,8249,BTCUSDT,1,95750.1,95813.3,95394.90000000001,95450.0,149.0016666666675,0.9395439648560072,2.4755455187195383,-0.7220591471895044,-2.1309526588745022,-2.1309526588745022,2.8080222816110596,2.8080222816110596,0.02700847997645434,-0.8033362853759909,-1,0.0,-1,0,-1.2949125933607124e-05,0,0.05369067460095495,0.05369067460095495,0.4295253968076396,0.4295253968076396,1.4496482142257836,2.995268509300794,6.3079831321797535,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,5,8,2
2024-12-02 17:58:00+00:00,8278,BTCUSDT,1,95009.90000000001,95014.6,94525.90000000001,94532.0,141.30166666666702,0.9212746670385608,6.761684911340145,-0.6103272353345565,-1.8919658782125193,-1.8919658782125193,3.4585579315875306,3.4585579315875306,0.0020968684472823865,-0.2786650988673278,-1,0.0,-1,0,-5.16016028740666e-05,0,4.255434590297364,5.435180052134309,7.2157676837971,8.025383045729566,9.655229355633924,9.697691699791223,13.148464868307787,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7,8,8
2024-12-02 22:28:00+00:00,8548,BTCUSDT,1,95467.20000000001,95467.20000000001,95293.8,95309.70000000001,64.91833333333464,0.4638449201589847,2.6138543314412175,-0.8379154336843304,-2.4704371428820893,-2.4704371428820893,2.6710482400554674,2.6710482400554674,0.018616087109226093,-0.6614507227120988,-1,0.0,-1,0,-7.896569907287857e-06,0,0.8795666350028002,1.3771148365894437,3.2394546994939915,3.5690996380066093,6.7145901260555885,12.28004415804443,13.104156504325639,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4,8,3
2024-12-03 10:44:00+00:00,9284,BTCUSDT,-1,95449.90000000001,95536.6,95449.90000000001,95536.6,27.488333333331443,0.034307231015968206,4.469695775562667,0.8453324261724098,2.233870195659096,2.233870195659096,3.1540653609476377,3.1540653609476377,0.8374775698517481,0.03342003100038571,1,0.0,-1,1,-2.935279115430234e-05,1,13.70035772752192,19.157218213789196,31.45334384284479,31.45334384284479,31.842599890865085,31.842599890865085,70.26981143515935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,8,6
2024-12-04 01:34:00+00:00,10174,BTCUSDT,-1,95983.3,96489.90000000001,95983.3,96456.70000000001,72.91500000000015,0.5586779164632871,10.854240290896088,0.6534433609262753,1.881081284530912,1.881081284530912,6.947815949983638,6.947815949983638,0.9643317576268142,0.17925039777492002,1,0.0,-1,1,2.1485468443619796e-05,0,1.109511074538964,1.109511074538964,1.7198107385312826,6.917643831859119,16.25317150106293,16.25317150106293,16.25317150106293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9,8,9
2024-12-04 04:59:00+00:00,10379,BTCUSDT,-1,95977.6,96076.40000000001,95977.5,96076.40000000001,30.928333333334013,0.06547660553657346,4.054019120514767,0.8613171453305041,2.2611531154926565,2.2611531154926565,3.1977151478194377,3.1977151478194377,0.9999999999976652,0.4626623425323518,-1,0.0,1,0,1.0969249723332316e-05,1,0.11639812469706552,0.26512906180945983,0.26512906180945983,0.26512906180945983,0.26512906180945983,0.26512906180945983,0.26512906180945983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,5
